"이름","카테고리","도로명주소","지번주소","일반전화","안심번호","영업시간","썸네일이미지URL","방문자 리뷰수","방문자 평점","블로그 리뷰수","위도","경도","매장정보","부가설명","홈페이지URL","사진리뷰수","상세페이지URL","해시태그","created_at"
"연세모벨르의원 대전둔산점","피부과","대전 서구 둔산로 52 미라클빌딩 5층 504호","대전 서구 둔산동 1169","042-485-7564","","진료 중18:30에 진료 종료18시 30분에 진료 종료,목10:00 - 18:3012:00 - 13:00 휴게시간,금10:00 - 18:3012:00 - 13:00 휴게시간,토10:00 - 14:00,일정기휴무 (매주 일요일),월10:00 - 18:3012:00 - 13:00 휴게시간,화10:00 - 18:3012:00 - 13:00 휴게시간,수14:00 - 20:00,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160926_293%2F1474864355521zidwr_JPEG%2F176876536254376_0.jpeg","82","","230","36.3511213","127.3798371","","","http://www.mobelledj.co.kr/","1","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/20108563?c=11.00,0,0,0,dh","","2024-05-23 15:23:22 +0900"
"굿닥터의원","성형외과","대전 서구 월평로 58","대전 서구 월평동 911","042-482-7577","","진료 중17:00에 진료 종료17시 0분에 진료 종료,목09:00 - 17:0012:30 - 14:00 휴게시간,금09:00 - 17:0012:30 - 14:00 휴게시간,토08:00 - 12:00,일정기휴무 (매주 일요일),월09:00 - 17:0012:30 - 14:00 휴게시간,화09:00 - 17:0012:30 - 14:00 휴게시간,수09:00 - 17:0012:30 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_71%2F15489149930042tLur_JPEG%2Fg73vqxsbyzdeHw3-oYZFMI4h.jpg","277","","3","36.3559696","127.3633611","","","","4","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/37637377?c=11.00,0,0,0,dh","","2024-05-23 15:23:22 +0900"
"타임피부과의원","피부과","대전 서구 둔산중로 50 파이낸스타워 3층","대전 서구 둔산동 1413","042-488-0770","","오늘 휴무매주 목요일 휴무매주 목요일 휴무,목정기휴무 (매주 목요일),금10:00 - 20:0013:00 - 14:00 휴게시간12:00, 19:00 접수마감,토10:00 - 16:0013:00 - 14:00 휴게시간12:00, 15:00 접수마감,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간12:00, 19:00 접수마감,화10:00 - 19:0013:00 - 14:00 휴게시간12:00, 18:00 접수마감,수10:00 - 19:0013:00 - 14:00 휴게시간12:00, 18:00 접수마감,06/06 현충일 휴무,- 매주 목요일 휴무(공휴일 있는 주는 정상진료)접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240311_86%2F1710124342082bAeGw_JPEG%2FKakaoTalk_20231122_162734379_04.jpg","406","","502","36.3509285","127.3871125","주차, 남/녀 화장실 구분, 예약, 무선 인터넷","","https://blog.naver.com/timeland2/","21","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1398877189?c=11.00,0,0,0,dh","","2024-05-23 15:23:23 +0900"
"블리비의원 대전점","피부과","대전 서구 대덕대로 227 동서빌딩 8층","대전 서구 둔산동 1032","1833-6343","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0014:00 - 15:00 휴게시간,금10:00 - 20:0014:00 - 15:00 휴게시간,토10:00 - 16:30,일정기휴무 (매주 일요일),월10:00 - 20:0014:00 - 15:00 휴게시간,화10:00 - 20:0014:00 - 15:00 휴게시간,수10:00 - 20:0014:00 - 15:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_134%2F1639367294134C2bhw_JPEG%2F__________%252B%25281%2529.jpg","1185","","20","36.3531329","127.378921","무선 인터넷, 주차, 남/녀 화장실 구분","","http://www.velyb.kr","61","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1320390712?c=11.00,0,0,0,dh","","2024-05-23 15:23:24 +0900"
"올리프트의원","피부과","대전 서구 대덕대로 223 4층 403호","대전 서구 둔산동 1033 층 403호","042-719-7827","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:00,금10:00 - 20:00,토10:00 - 16:30,일10:00 - 16:30,월10:00 - 20:00,화10:00 - 20:00,수10:00 - 20:00접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211020_266%2F1634702806249JImFe_JPEG%2FEMtRbFtHaFzLfAEVNyZBIvI1.jpg","4452","","171","36.3528885","127.3789592","예약, 주차, 무선 인터넷, 남/녀 화장실 구분","","http://www.allift.co.kr","914","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1837907162?c=11.00,0,0,0,dh","","2024-05-23 15:23:24 +0900"
"둔산DS피부과의원","피부과","대전 서구 대덕대로 183","대전 서구 둔산동 1109","042-471-1675","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:00 - 19:0012:50 - 13:50 휴게시간,금10:00 - 19:0012:50 - 13:50 휴게시간,토10:00 - 16:0012:50 - 13:50 휴게시간,일정기휴무 (매주 일요일),월10:00 - 19:0012:50 - 13:50 휴게시간,화13:00 - 19:00,수10:00 - 19:0012:50 - 13:50 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180818_124%2F15345763022804lE79_JPEG%2FgESYxpHj2Q6cdMUPAdtTlCMK.jpg","481","","5","36.3496557","127.3768778","주차, 무선 인터넷, 남/녀 화장실 구분","","http://www.goodskin.co.kr/","10","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/11575391?c=11.00,0,0,0,dh","","2024-05-23 15:23:25 +0900"
"메이드유의원 대전점","피부과","대전 서구 둔산로31번길 10-23 4층 메이드유의원 대전점","대전 서구 둔산동 1014","042-638-7599","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0014:00 - 15:00 휴게시간,금10:00 - 20:0014:00 - 15:00 휴게시간,토10:00 - 16:00,일정기휴무 (매주 일요일),월10:00 - 20:0014:00 - 15:00 휴게시간,화10:00 - 20:0014:00 - 15:00 휴게시간,수10:00 - 20:0014:00 - 15:00 휴게시간접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230717_280%2F1689566381450ownoH_JPEG%2F20191107_095111.jpg","138","","14","36.3528959","127.3781973","예약, 남/녀 화장실 구분, 주차, 발렛파킹","","http://dj.madeu.co.kr/new2018/index.php","9","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1980118772?c=11.00,0,0,0,dh","","2024-05-23 15:23:25 +0900"
"이종성피부과의원","피부과","대전 서구 도산로 45","대전 서구 도마동 174-4","042-585-1402","","진료 중18:00에 진료 종료18시 0분에 진료 종료,목09:00 - 18:0012:30 - 14:00 휴게시간,금09:00 - 18:0012:30 - 14:00 휴게시간,토09:00 - 12:00,일정기휴무 (매주 일요일),월09:00 - 18:0012:30 - 14:00 휴게시간,화09:00 - 18:0012:30 - 14:00 휴게시간,수09:00 - 18:0012:30 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200624_254%2F15929680679812g1Ia_JPEG%2Fji0UmO0mpZKaQzhmB2NsqeMn.jpg","740","","6","36.3126971","127.3803038","","","","15","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/12075337?c=11.00,0,0,0,dh","","2024-05-23 15:23:27 +0900"
"차종식피부과의원","피부과","대전 서구 둔산중로 19 2층 213호","대전 서구 탄방동 590","042-483-7606","","진료 중17:20에 접수마감17시 20분에 접수마감,목09:30 - 17:3012:10 - 13:30 휴게시간17:20 접수마감,금09:30 - 17:3012:10 - 13:30 휴게시간17:20 접수마감,토09:30 - 14:3012:10 - 13:30 휴게시간14:20 접수마감,일정기휴무 (매주 일요일),월09:30 - 17:3012:10 - 13:30 휴게시간17:20 접수마감,화09:30 - 17:3012:10 - 13:30 휴게시간17:20 접수마감,수정기휴무 (매주 수요일),06/06 현충일 휴무,- 오전진료는 12:00접수마감 오후진료는17:20접수마감접기","","546","","14","36.3486114","127.3860369","","","","10","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13246110?c=11.00,0,0,0,dh","","2024-05-23 15:23:31 +0900"
"아이엠피부과의원","피부과","대전 서구 계룡로 599 604호","대전 서구 탄방동 91-23","042-533-1212","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:00 - 19:0013:00 - 14:00 휴게시간,금10:00 - 20:0013:00 - 14:00 휴게시간,토10:00 - 15:00,일정기휴무 (매주 일요일),월10:00 - 19:0013:00 - 14:00 휴게시간,화10:00 - 19:0013:00 - 14:00 휴게시간,수10:00 - 19:0013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190703_101%2F1562121296916PtVCd_JPEG%2FKITPOWRVdIh-pQ3Ilto4JWE7.jpeg.jpg","929","","518","36.3412745","127.3901976","","","http://www.imclinics.co.kr/","14","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1526314176?c=11.00,0,0,0,dh","","2024-05-23 15:23:32 +0900"
"킴벨피부과병원","피부과","대전 서구 대덕대로 238","대전 서구 둔산동 1367","042-471-7575","","진료 중18:00에 진료 종료18시 0분에 진료 종료,목09:00 - 18:0013:00 - 14:00 휴게시간,금09:00 - 18:0013:00 - 14:00 휴게시간,토08:30 - 13:00,일정기휴무 (매주 일요일),월09:00 - 18:0013:00 - 14:00 휴게시간,화09:00 - 18:0013:00 - 14:00 휴게시간,수09:00 - 18:0013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221223_209%2F1671753784957NxtiB_JPEG%2F%25B1%25D7%25B8%25B21.jpg","1755","","1198","36.3541858","127.3798562","예약, 남/녀 화장실 구분, 무선 인터넷, 주차","","https://blog.naver.com/kimbelle_dr","20","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/12096116?c=11.00,0,0,0,dh","","2024-05-23 15:23:44 +0900"
"미탐의원 대전","피부과","대전 서구 대덕대로 197 영남빌딩 3층","대전 서구 둔산동 1042","042-489-1175","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0013:00 - 14:00 휴게시간,금10:00 - 20:0013:00 - 14:00 휴게시간,토10:00 - 15:00,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간,화10:00 - 20:0013:00 - 14:00 휴게시간,수10:00 - 20:0013:00 - 14:00 휴게시간,06/06 현충일 휴무,- [토요일] 점심시간 없이진료 및 2째주, 4째주 휴진접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220204_53%2F16439552066460rTpI_JPEG%2FKakaoTalk_20220204_144243234_02.jpg","141","","638","36.3508832","127.3777058","예약, 주차, 남/녀 화장실 구분","","http://www.mitam-dj.com/","10","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/19782468?c=11.00,0,0,0,dh","","2024-05-23 15:23:45 +0900"
"수목토연합의원","내과","대전 서구 도안동로 177 엘드수목토아파트상가 206호","대전 서구 도안동 1364","042-544-8005","","진료 중18:50에 접수마감18시 50분에 접수마감,목09:00 - 19:0012:30 - 14:00 휴게시간18:50 접수마감,금09:00 - 19:0012:30 - 14:00 휴게시간18:50 접수마감,토09:00 - 14:0013:50 접수마감,일정기휴무 (매주 일요일),월09:00 - 19:0012:30 - 14:00 휴게시간18:50 접수마감,화09:00 - 19:0012:30 - 14:00 휴게시간18:50 접수마감,수09:00 - 19:0012:30 - 14:00 휴게시간18:50 접수마감,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_209%2F14410581795662zgJr_JPEG%2FSUBMIT_1407308186166_33407013.jpg","340","","12","36.3206462","127.344217","주차, 남/녀 화장실 구분","","","6","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/33407013?c=11.00,0,0,0,dh","","2024-05-23 15:23:45 +0900"
"미델의원","피부과","대전 서구 관저중로 72 메디컬센터 203호","대전 서구 관저동 1105","0507-1313-2356","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0013:00 - 14:00 휴게시간,금10:00 - 19:0013:00 - 14:00 휴게시간,토10:00 - 16:00,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간,화10:00 - 19:0013:00 - 14:00 휴게시간,수정기휴무 (매주 수요일),06/06 현충일 휴무,- 공휴일이 있는 주는 수요일 진료합니다.접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240429_105%2F1714367606738xE03f_PNG%2F5%25BF%25F9%25C1%25F8%25B7%25E1%25C0%25CF%25C1%25A4.png","173","","2","36.2986066","127.335289","무선 인터넷, 주차","","https://middel.modoo.at/","4","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1839553270?c=11.00,0,0,0,dh","","2024-05-23 15:23:45 +0900"
"스노우의원 대전둔산","피부과","대전 서구 대덕대로241번길 19 ST타워 4층 404~406호","대전 서구 둔산동 1019","0507-1483-7902","","진료 중19:30에 접수마감19시 30분에 접수마감,목10:30 - 20:3013:30 - 14:30 휴게시간19:30 접수마감,금10:30 - 20:3013:30 - 14:30 휴게시간19:30 접수마감,토10:00 - 16:0015:00 접수마감,일정기휴무 (매주 일요일),월10:30 - 20:3013:30 - 14:30 휴게시간19:30 접수마감,화10:30 - 20:3013:30 - 14:30 휴게시간19:30 접수마감,수10:30 - 20:3013:30 - 14:30 휴게시간19:30 접수마감,- 홈페이지, SNS 등을 통하여 공휴일 진료일정 안내접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231024_157%2F1698128372666SQTpW_JPEG%2FKakaoTalk_20231024_145456600.jpg","1242","","620","36.3541051","127.3783101","예약, 무선 인터넷, 남/녀 화장실 구분, 주차","","","446","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1964834355?c=11.00,0,0,0,dh","","2024-05-23 15:23:45 +0900"
